# Last updated: August 2013 by M. Oiestad, MET
LIGHT (draugen)		15
2.00	10.0	10.0	10.0
120.00	40.8	860.8	33.2	2314.5	1648.5	25.7	0.0
480.00	46.0	866.5	48.1	4926.0	3247.1	31.5	0.0
ESSO FORSETI	15
2.00	10.0	10.0	10.0
0.00	0.0	916.0	0.0	327.1	327.1	-3.0	0.0
0.25	2.8	920.3	4.0	548.3	574.1	-1.3	73.9
0.50	3.7	921.6	7.8	625.4	686.3	-0.8	76.8
1.00	4.9	923.1	14.9	731.9	884.6	-0.2	80.4
2.00	6.1	924.8	27.0	873.5	1294.3	0.5	84.4
3.00	7.0	925.9	36.9	977.9	1796.4	1.0	86.9
6.00	8.5	927.9	56.8	1206.5	4331.0	1.8	91.8
9.00	9.5	929.2	67.5	1379.7	9151.4	2.4	94.9
12.00	10.2	930.1	73.0	1525.5	15908.5	2.8	97.2
24.00	12.1	932.6	76.9	1973.9	30790.6	3.8	103.4
48.00	14.1	935.3	76.9	2610.1	40714.8	4.9	110.1
72.00	15.3	936.9	76.9	3092.1	48232.5	5.6	114.2
96.00	16.2	938.1	76.9	3501.4	54617.2	6.1	117.3
120.00	17.0	939.1	76.9	3866.2	60308.7	6.5	119.8
480.00	22.2	946.0	76.9	7987.0	124586.7	9.4	138.3
FRAM VINTER		15
2.0	10.0	5.0	5.0
0.00	0.0	858.0	0.0	1120.6	1120.6	15.0	0.0
0.25	11.6	867.8	0.3	4805.8	4736.1	21.1	0.0
0.50	13.8	869.6	1.4	6013.3	5661.9	22.1	0.0
1.00	16.0	871.6	5.2	7549.4	6111.2	23.2	0.0
2.00	18.3	873.5	15.4	9469.8	5582.0	24.2	0.0
3.00	19.5	874.5	23.3	10790.7	5273.0	24.8	0.0
6.00	21.7	876.4	32.6	13478.2	5542.6	25.8	0.0
9.00	23.0	877.5	37.4	15333.8	5859.0	26.4	0.0
12.00	23.9	878.3	40.6	16819.0	6132.7	26.8	0.0
24.00	26.0	880.1	48.1	21032.8	6980.7	27.8	0.0
48.00	28.3	882.1	54.6	26441.4	8166.2	28.9	0.0
